Time (h)	GUR	mu
2.59	-3.140300065	0.425794244
2.6	-3.128687168	0.424629986
2.61	-3.11714983	0.423470208
2.62	-3.105687398	0.422314889
2.63	-3.094299225	0.42116401
2.64	-3.082984673	0.420017551
2.65	-3.071743109	0.418875493
2.66	-3.060573905	0.417737816
2.67	-3.049476443	0.416604501
2.68	-3.038450108	0.415475528
2.69	-3.027494295	0.414350877
2.7	-3.016608402	0.41323053
2.71	-3.005791835	0.412114467
2.72	-2.995044004	0.411002669
2.73	-2.984364329	0.409895116
2.74	-2.973752232	0.408791788
2.75	-2.963207144	0.407692668
2.76	-2.952728498	0.406597735
2.77	-2.942315737	0.405506971
2.78	-2.931968307	0.404420357
2.79	-2.921685661	0.403337872
2.8	-2.911467257	0.4022595
2.81	-2.901312559	0.40118522
2.82	-2.891221034	0.400115013
2.83	-2.881192159	0.399048862
2.84	-2.871225412	0.397986746
2.85	-2.861320278	0.396928648
2.86	-2.851476248	0.395874549
2.87	-2.841692817	0.39482443
2.88	-2.831969485	0.393778273
2.89	-2.822305758	0.392736059
2.9	-2.812701146	0.39169777
2.91	-2.803155164	0.390663387
2.92	-2.793667333	0.389632892
2.93	-2.784237177	0.388606267
2.94	-2.774864225	0.387583494
2.95	-2.765548013	0.386564555
2.96	-2.75628808	0.385549431
2.97	-2.747083968	0.384538105
2.98	-2.737935225	0.383530559
2.99	-2.728841405	0.382526775
3	-2.719802064	0.381526735
3.01	-2.710816764	0.380530421
3.02	-2.70188507	0.379537816
3.03	-2.693006552	0.378548903
3.04	-2.684180784	0.377563663
3.05	-2.675407344	0.37658208
3.06	-2.666685816	0.375604136
3.07	-2.658015785	0.374629813
3.08	-2.649396842	0.373659095
3.09	-2.640828581	0.372691964
3.1	-2.632310601	0.371728404
3.11	-2.623842505	0.370768397
3.12	-2.615423898	0.369811926
3.13	-2.607054391	0.368858975
3.14	-2.598733598	0.367909526
3.15	-2.590461135	0.366963564
3.16	-2.582236625	0.366021071
3.17	-2.574059692	0.365082031
3.18	-2.565929964	0.364146427
3.19	-2.557847074	0.363214243
3.2	-2.549810658	0.362285462
3.21	-2.541820353	0.361360069
3.22	-2.533875804	0.360438047
3.23	-2.525976655	0.359519379
3.24	-2.518122556	0.358604051
3.25	-2.51031316	0.357692045
3.26	-2.502548122	0.356783347
3.27	-2.494827102	0.35587794
3.28	-2.487149762	0.354975808
3.29	-2.479515768	0.354076936
3.3	-2.471924788	0.353181308
3.31	-2.464376495	0.352288908
3.32	-2.456870563	0.351399722
3.33	-2.44940667	0.350513733
3.34	-2.441984497	0.349630926
3.35	-2.434603729	0.348751287
3.36	-2.427264052	0.3478748
3.37	-2.419965155	0.34700145
3.38	-2.412706733	0.346131221
3.39	-2.40548848	0.345264099
3.4	-2.398310095	0.34440007
3.41	-2.391171279	0.343539117
3.42	-2.384071736	0.342681227
3.43	-2.377011173	0.341826385
3.44	-2.369989299	0.340974576
3.45	-2.363005827	0.340125786
3.46	-2.356060471	0.33928
3.47	-2.349152948	0.338437203
3.48	-2.342282979	0.337597383
3.49	-2.335450286	0.336760524
3.5	-2.328654594	0.335926612
3.51	-2.32189563	0.335095633
3.52	-2.315173125	0.334267573
3.53	-2.308486812	0.333442418
3.54	-2.301836425	0.332620155
3.55	-2.295221701	0.331800769
3.56	-2.28864238	0.330984247
3.57	-2.282098205	0.330170575
3.58	-2.27558892	0.329359739
3.59	-2.269114271	0.328551727
3.6	-2.262674007	0.327746524
3.61	-2.25626788	0.326944117
3.62	-2.249895643	0.326144493
3.63	-2.243557052	0.325347638
3.64	-2.237251865	0.32455354
3.65	-2.230979841	0.323762186
3.66	-2.224740743	0.322973561
3.67	-2.218534335	0.322187654
3.68	-2.212360383	0.321404451
3.69	-2.206218656	0.32062394
3.7	-2.200108925	0.319846108
3.71	-2.194030962	0.319070942
3.72	-2.187984541	0.318298429
3.73	-2.181969438	0.317528557
3.74	-2.175985434	0.316761314
3.75	-2.170032307	0.315996686
3.76	-2.16410984	0.315234663
3.77	-2.158217817	0.31447523
3.78	-2.152356025	0.313718377
3.79	-2.146524252	0.31296409
3.8	-2.140722287	0.312212358
3.81	-2.134949922	0.311463169
